ID,Class
./Train/377.jpg,MIDDLE
./Train/17814.jpg,YOUNG
./Train/21283.jpg,MIDDLE
./Train/16496.jpg,YOUNG
./Train/4487.jpg,MIDDLE
./Train/6283.jpg,MIDDLE
./Train/23495.jpg,YOUNG
./Train/7100.jpg,YOUNG
./Train/6028.jpg,YOUNG
./Train/22617.jpg,OLD
./Train/11177.jpg,YOUNG
./Train/2462.jpg,MIDDLE
./Train/24116.jpg,MIDDLE
./Train/17689.jpg,MIDDLE
./Train/728.jpg,MIDDLE
./Train/3003.jpg,MIDDLE
./Train/14408.jpg,OLD
./Train/6679.jpg,YOUNG
./Train/15152.jpg,OLD
./Train/24784.jpg,MIDDLE
./Train/9970.jpg,YOUNG
./Train/22550.jpg,OLD
./Train/150.jpg,YOUNG
./Train/7379.jpg,MIDDLE
./Train/15387.jpg,MIDDLE
./Train/2336.jpg,YOUNG
./Train/9603.jpg,MIDDLE
./Train/4025.jpg,OLD
./Train/17696.jpg,MIDDLE
./Train/17552.jpg,YOUNG
./Train/5345.jpg,YOUNG
./Train/19129.jpg,YOUNG
./Train/14286.jpg,MIDDLE
./Train/18235.jpg,MIDDLE
./Train/20499.jpg,MIDDLE
./Train/2728.jpg,YOUNG
./Train/5171.jpg,MIDDLE
./Train/25205.jpg,MIDDLE
./Train/12263.jpg,MIDDLE
./Train/25467.jpg,YOUNG
./Train/2132.jpg,MIDDLE
./Train/12677.jpg,YOUNG
./Train/9527.jpg,MIDDLE
./Train/19846.jpg,MIDDLE
./Train/1943.jpg,OLD
./Train/4639.jpg,MIDDLE
./Train/20686.jpg,YOUNG
./Train/2412.jpg,MIDDLE
./Train/3512.jpg,MIDDLE
./Train/22350.jpg,YOUNG
./Train/2691.jpg,MIDDLE
./Train/15224.jpg,MIDDLE
./Train/14864.jpg,MIDDLE
./Train/22930.jpg,YOUNG
./Train/24050.jpg,MIDDLE
./Train/7445.jpg,MIDDLE
./Train/24888.jpg,OLD
./Train/1031.jpg,MIDDLE
./Train/22890.jpg,OLD
./Train/11249.jpg,MIDDLE
./Train/13593.jpg,YOUNG
./Train/3631.jpg,MIDDLE
./Train/15523.jpg,YOUNG
./Train/20243.jpg,YOUNG
./Train/11345.jpg,MIDDLE
./Train/26340.jpg,MIDDLE
./Train/1195.jpg,OLD
./Train/17965.jpg,YOUNG
./Train/26054.jpg,YOUNG
./Train/16522.jpg,YOUNG
./Train/18131.jpg,YOUNG
./Train/20229.jpg,MIDDLE
./Train/4204.jpg,OLD
./Train/18855.jpg,MIDDLE
./Train/18266.jpg,MIDDLE
./Train/17075.jpg,OLD
./Train/13846.jpg,YOUNG
./Train/24302.jpg,MIDDLE
./Train/12982.jpg,MIDDLE
./Train/21288.jpg,MIDDLE
./Train/8324.jpg,MIDDLE
./Train/13890.jpg,MIDDLE
./Train/8177.jpg,MIDDLE
./Train/9669.jpg,YOUNG
./Train/19842.jpg,OLD
./Train/2675.jpg,MIDDLE
./Train/26465.jpg,YOUNG
./Train/5641.jpg,MIDDLE
./Train/17843.jpg,YOUNG
./Train/26070.jpg,MIDDLE
./Train/6808.jpg,MIDDLE
./Train/777.jpg,YOUNG
./Train/7717.jpg,MIDDLE
./Train/2225.jpg,YOUNG
./Train/852.jpg,YOUNG
./Train/12619.jpg,YOUNG
./Train/5843.jpg,MIDDLE
./Train/20147.jpg,OLD
./Train/15364.jpg,MIDDLE
./Train/5824.jpg,YOUNG
./Train/5671.jpg,OLD
./Train/24021.jpg,YOUNG
./Train/18961.jpg,MIDDLE
./Train/10757.jpg,MIDDLE
./Train/18115.jpg,MIDDLE
./Train/18305.jpg,MIDDLE
./Train/20262.jpg,MIDDLE
./Train/26028.jpg,MIDDLE
./Train/12301.jpg,MIDDLE
./Train/17881.jpg,YOUNG
./Train/5397.jpg,OLD
./Train/19323.jpg,MIDDLE
./Train/24429.jpg,OLD
./Train/17693.jpg,MIDDLE
./Train/26195.jpg,MIDDLE
./Train/8421.jpg,YOUNG
./Train/4969.jpg,YOUNG
./Train/11511.jpg,OLD
./Train/12816.jpg,YOUNG
./Train/19367.jpg,MIDDLE
./Train/11841.jpg,YOUNG
./Train/23894.jpg,MIDDLE
./Train/26212.jpg,MIDDLE
./Train/21423.jpg,MIDDLE
./Train/21323.jpg,MIDDLE
./Train/1002.jpg,MIDDLE
./Train/10851.jpg,YOUNG
./Train/19502.jpg,MIDDLE
